order_purchase_timestamp,total_sales,total_items,total_orders
2016-09-04,72.89,2,1
2016-09-05,0.0,0,0
2016-09-06,0.0,0,0
2016-09-07,0.0,0,0
2016-09-08,0.0,0,0
2016-09-09,0.0,0,0
2016-09-10,0.0,0,0
2016-09-11,0.0,0,0
2016-09-12,0.0,0,0
2016-09-13,0.0,0,0
2016-09-14,0.0,0,0
2016-09-15,134.97,3,1
2016-09-16,0.0,0,0
2016-09-17,0.0,0,0
2016-09-18,0.0,0,0
2016-09-19,0.0,0,0
2016-09-20,0.0,0,0
2016-09-21,0.0,0,0
2016-09-22,0.0,0,0
2016-09-23,0.0,0,0
2016-09-24,0.0,0,0
2016-09-25,0.0,0,0
2016-09-26,0.0,0,0
2016-09-27,0.0,0,0
2016-09-28,0.0,0,0
2016-09-29,0.0,0,0
2016-09-30,0.0,0,0
2016-10-01,0.0,0,0
2016-10-02,0.0,0,0
2016-10-03,441.98,7,7
2016-10-04,9571.16,67,58
2016-10-05,6856.56,52,39
2016-10-06,6295.72,55,46
2016-10-07,6728.25,50,43
2016-10-08,8306.86,43,38
2016-10-09,2614.2,28,22
2016-10-10,3692.57,40,37
2016-10-11,0.0,0,0
2016-10-12,0.0,0,0
2016-10-13,0.0,0,0
2016-10-14,0.0,0,0
2016-10-15,0.0,0,0
2016-10-16,0.0,0,0
2016-10-17,0.0,0,0
2016-10-18,0.0,0,0
2016-10-19,0.0,0,0
2016-10-20,0.0,0,0
2016-10-21,0.0,0,0
2016-10-22,0.0,0,0
2016-10-23,0.0,0,0
2016-10-24,0.0,0,0
2016-10-25,0.0,0,0
2016-10-26,0.0,0,0
2016-10-27,0.0,0,0
2016-10-28,0.0,0,0
2016-10-29,0.0,0,0
2016-10-30,0.0,0,0
2016-10-31,0.0,0,0
2016-11-01,0.0,0,0
2016-11-02,0.0,0,0
2016-11-03,0.0,0,0
2016-11-04,0.0,0,0
2016-11-05,0.0,0,0
2016-11-06,0.0,0,0
2016-11-07,0.0,0,0
2016-11-08,0.0,0,0
2016-11-09,0.0,0,0
2016-11-10,0.0,0,0
2016-11-11,0.0,0,0
2016-11-12,0.0,0,0
2016-11-13,0.0,0,0
2016-11-14,0.0,0,0
2016-11-15,0.0,0,0
2016-11-16,0.0,0,0
2016-11-17,0.0,0,0
2016-11-18,0.0,0,0
2016-11-19,0.0,0,0
2016-11-20,0.0,0,0
2016-11-21,0.0,0,0
2016-11-22,0.0,0,0
2016-11-23,0.0,0,0
2016-11-24,0.0,0,0
2016-11-25,0.0,0,0
2016-11-26,0.0,0,0
2016-11-27,0.0,0,0
2016-11-28,0.0,0,0
2016-11-29,0.0,0,0
2016-11-30,0.0,0,0
2016-12-01,0.0,0,0
2016-12-02,0.0,0,0
2016-12-03,0.0,0,0
2016-12-04,0.0,0,0
2016-12-05,0.0,0,0
2016-12-06,0.0,0,0
2016-12-07,0.0,0,0
2016-12-08,0.0,0,0
2016-12-09,0.0,0,0
2016-12-10,0.0,0,0
2016-12-11,0.0,0,0
2016-12-12,0.0,0,0
2016-12-13,0.0,0,0
2016-12-14,0.0,0,0
2016-12-15,0.0,0,0
2016-12-16,0.0,0,0
2016-12-17,0.0,0,0
2016-12-18,0.0,0,0
2016-12-19,0.0,0,0
2016-12-20,0.0,0,0
2016-12-21,0.0,0,0
2016-12-22,0.0,0,0
2016-12-23,10.9,1,1
2016-12-24,0.0,0,0
2016-12-25,0.0,0,0
2016-12-26,0.0,0,0
2016-12-27,0.0,0,0
2016-12-28,0.0,0,0
2016-12-29,0.0,0,0
2016-12-30,0.0,0,0
2016-12-31,0.0,0,0
2017-01-01,0.0,0,0
2017-01-02,0.0,0,0
2017-01-03,0.0,0,0
2017-01-04,0.0,0,0
2017-01-05,396.9,32,32
2017-01-06,916.38,4,4
2017-01-07,1351.9,5,4
2017-01-08,709.58,6,6
2017-01-09,673.79,6,5
2017-01-10,1434.87,6,6
2017-01-11,2611.26,11,11
2017-01-12,2234.58,15,13
2017-01-13,2505.58,11,11
2017-01-14,1112.69,18,18
2017-01-15,2199.5699999999997,21,14
2017-01-16,3307.92,24,19
2017-01-17,3302.5299999999997,37,32
2017-01-18,4032.3599999999997,35,33
2017-01-19,3553.95,35,29
2017-01-20,4035.83,39,28
2017-01-21,2458.6,36,24
2017-01-22,3619.27,33,30
2017-01-23,6581.47,54,39
2017-01-24,5955.17,44,40
2017-01-25,8977.23,69,62
2017-01-26,13107.96,99,84
2017-01-27,11432.95,76,61
2017-01-28,5211.01,30,29
2017-01-29,6457.66,47,35
2017-01-30,10801.13,75,51
2017-01-31,11116.13,85,67
2017-02-01,8099.76,69,66
2017-02-02,8917.64,75,68
2017-02-03,10171.74,61,56
2017-02-04,13968.16,72,66
2017-02-05,8503.79,83,75
2017-02-06,9539.44,88,81
2017-02-07,14073.58,126,110
2017-02-08,11908.37,98,89
2017-02-09,9190.29,82,77
